episode,average_score
1,-211.57452937159962
11,-196.91230618923635
21,-214.34164316330836
31,-191.1875365589827
41,-175.96877410832528
51,-169.31389496519506
61,-164.0044140810977
71,-161.73667043310385
81,-157.17349879503496
91,-150.3756334073799
101,-145.09093798608347
111,-130.94256886129082
121,-113.92929989377951
131,-104.73924011144767
141,-97.88318957458263
151,-88.08083406453248
161,-78.11036506890603
171,-73.79138640555955
181,-63.69766717855681
191,-62.583283660049574
201,-54.75875959649106
211,-51.57918580488522
221,-43.7003140281713
231,-36.41007676828803
241,-22.467562864049754
251,-14.619089767294827
261,-10.014996637377903
271,3.472306236337781
281,3.573284331239652
291,13.113578191671138
301,14.856591721531336
311,15.187462952828792
321,22.78379500931681
331,19.492638698815114
341,15.023182661845016
351,13.395483399436092
361,16.90469495197671
371,14.735979545361023
381,28.628391378834785
391,36.690202679227546
401,46.5683095990538
411,64.4556865903134
421,77.70986878800177
431,94.31235909266805
441,109.3495731019113
451,125.69131897954259
461,130.97836904937077
471,141.29271087998785
481,136.625079707644
491,135.66030187651876
501,143.28132614991753
511,144.96242146025648
521,126.72379227382886
531,122.54320999208878
541,107.26962993047788
551,99.84459099314407
561,105.94881008810812
571,110.9325178842897
581,115.92144145442106
591,117.38398139411426
601,110.14575767942306
611,103.39905977456081
621,108.24926931230556
631,100.7586691204184
641,94.6166413780618
651,94.70220861228485
661,89.1010937803987
671,83.18206772696982
681,83.5051715445947
691,81.18158256199183
701,88.95556913624853
711,84.82947968341524
721,77.40951640397472
731,83.35046326251276
741,85.95699665316734
751,89.1859293174279
761,88.92466106414524
771,87.87549232386911
781,75.83957071699288
791,81.21649862051316
801,61.45426285703593
811,60.1841025352559
821,46.093732613677155
831,29.5848592131896
841,6.901952602950128
851,-31.577034649340813
861,-62.94369309864594
871,-79.98492016553804
881,-91.60726790679179
891,-119.73859260592697
901,-130.09303632395162
911,-142.40303915863126
921,-140.95442950316573
931,-142.60630727510434
941,-133.11891468508048
951,-132.34746102868303
961,-129.43716271383283
971,-144.58148040546826
981,-154.94445286466393
991,-158.3993320587903
1001,-164.83711014678886
1011,-167.69629733212645
