episode,average_score
1,-147.65251434731005
51,-148.58007158716404
101,-122.47713956009439
151,-73.75957331972344
201,-49.28265091799101
251,-23.335417405786306
301,-19.93099010953543
351,8.84265424893637
401,75.49446485256354
451,95.75376171494229
501,70.25199212293938
551,61.26917130327612
601,145.02284395132108
651,170.1828130443875
701,98.96467667320024
751,71.79824385355768
801,123.35521737984054
851,199.16670609925174
901,211.58288424827842
951,172.652045692743
1001,182.41957564162993
1051,198.3001240214877
1101,166.5700070831495
1151,140.83136053774552
1201,129.04481224038892
1251,171.93054815993867
1301,214.2503479888198
1351,217.56583461966613
1401,246.71447683309262
1451,258.2540494015815
1500,242.12359611350936
