episode,score
1,-128.41001157019016
2,-103.72727678228478
3,-290.68994651251705
4,28.85509931226946
5,-148.83925819982508
6,-156.01648553218595
7,-140.0919579955576
8,-223.89528351569956
9,-134.764196565749
10,-76.68442874614594
11,-381.45992822138555
12,-111.80243068995762
13,-313.05759988089267
14,-111.43632806603104
15,-177.31185500461558
16,-433.42077585849745
17,-242.16518230657687
18,-356.14325561024447
19,-359.79312345805096
20,-357.8163092440146
21,-278.85965175077274
22,-172.41613171508516
23,0.6529384340699096
24,-196.93489948299128
25,-58.96151754018618
26,-296.19582397854526
27,-202.1368669468528
28,-66.33339196991605
29,-84.92232835718318
30,-227.3587406206234
31,-101.1472171379325
32,-122.69809821493867
33,-146.30354773584514
34,-116.18206503853972
35,-75.66108199574816
36,-180.73038681875227
37,-224.23886551909027
38,-141.49022618209244
39,-189.71462150303674
40,-267.9283080877111
41,-274.11247364725193
42,-122.95559025848169
43,-207.94461266223655
44,-77.75328470422717
45,18.040681272646864
46,-67.03105850866744
47,-305.0638974170066
48,-93.38077295236252
49,-142.54904599523846
50,-164.7842342166578
51,-177.80130326815038
52,-173.48318234750627
53,-53.4588890729942
54,-208.20963540896415
55,-120.60476060048813
56,-69.51217585868659
57,-62.309432830992165
58,-101.32808613930561
59,-81.16481120450732
60,-72.16667491651515
61,-74.2933305352691
62,8.98741983814763
63,-78.07571325489612
64,-170.60641313661887
65,-67.84436428369193
66,-166.53699883160127
67,-126.33561506662055
68,-80.51201061784143
69,-282.7420127781486
70,-96.37488844958702
71,-178.18679685603053
72,-280.19182548952836
73,-206.24317574333455
74,-52.99137346520137
75,-70.02644455946793
76,-133.43547560567896
77,-88.9813866280698
78,-99.2491558850088
79,-235.66151261743434
80,-130.5740835236225
81,-256.34223482807204
82,-143.11662715322916
83,-125.42472599661266
84,-122.3636328016114
85,-52.0167820329799
86,-125.0861198746486
87,-211.658296113145
88,-150.20710800900613
89,-315.21735622043354
90,-29.79245343581644
91,-101.0581622800894
92,-115.76061476764549
93,-115.28435957805414
94,-148.2094908585059
95,-21.611852849767104
96,-39.13994016929102
97,-38.774860808437694
98,-111.30240298782793
99,-1.2907381059157217
100,-116.01529491546563
101,-118.59149263609653
102,-18.819051059935802
103,-225.59903023069313
104,-244.36475103454018
105,-190.6724206056811
106,-43.705171803389064
107,-62.622643989966114
108,-105.86019726864919
109,-87.25067574527057
110,-103.72104707331427
111,-50.312838071141485
112,-57.713657431325174
113,-89.3982631448118
114,-117.53651501664763
115,-66.1177264613542
116,-53.50254972972502
117,-161.31203201870494
118,-80.42069041233049
119,-163.24505954407326
120,-64.86291644523457
121,-41.38709947563862
122,2.938678828399077
123,-41.31864332233482
124,-57.13901360911946
125,-33.170956052438015
126,7.672877280829013
127,-74.93452375968455
128,-85.36469527651055
129,-14.06229241169116
130,-104.70888332805274
131,-69.96301842133256
132,-76.59176352295225
133,-25.163876337075592
134,17.9188613933662
135,-38.15039568303867
136,-70.09147159097739
137,-49.027321911505
138,13.397300914029245
139,-181.21870077091745
140,-240.07035856369816
141,3.251732851185679
142,-57.74476079342293
143,-47.31457765499395
144,-81.35248837836014
145,-91.92129358517175
146,19.499836547403163
147,-15.011074999925043
148,54.73689267523392
149,-28.246331654514194
150,-54.365963057738696
151,-169.65984973011672
152,-90.53508789634779
153,-91.23706417432064
154,2.361617814709078
155,9.714872096514483
156,-18.576792422078384
157,-3.9568776168445225
158,11.690117477365462
159,-26.31456463470849
160,11.552360563036473
161,-15.22394878315366
162,-31.5317709437611
163,-23.891734177820652
164,-14.079235778943954
165,-25.0285699641604
166,-248.91848365017503
167,-379.37585762321584
168,-31.737856542727684
169,-29.511013464504515
170,-45.43458167773713
171,-83.48720253553378
172,-309.5503195367785
173,17.917302318814478
174,-233.5064622105844
175,-145.32080387292154
176,-59.06114332812663
177,-71.11162921093862
178,-264.29130421272725
179,-84.70953619130489
180,29.721602427664948
181,-80.17053754722465
182,-9.764508643662307
183,50.58196153241374
184,-140.65295157939482
185,-71.69210786007477
186,-193.0125189040909
187,-80.25446659465305
188,-130.78021971245553
189,38.40723900842704
190,-35.74814922922777
191,-10.519637444546817
192,32.223883906744334
193,-3.4327565392271806
194,-112.38467655438511
195,-75.85563590478361
196,-57.050136551886254
197,41.911098684375276
198,0.9167889754012606
199,-50.78677834528048
200,10.425420278595723
201,-34.2407739580711
202,8.68941616918037
203,-49.08159964295288
204,-195.9700150262455
205,26.21553829816234
206,-15.20092974682175
207,3.83181800286782
208,-303.0117838305581
209,26.7649474559486
210,-38.475551941865895
211,-38.01217693808977
212,54.416473270494734
213,45.08119957048759
214,-103.83229659353324
215,-25.450375101775833
216,-157.1755915521816
217,-45.289005030522894
218,-195.79197787786472
219,99.5702405008909
220,-69.04550980471075
221,172.01373622664633
222,-3.5928726494844687
223,-2.8707950871173242
224,-85.4093458108881
225,-45.8763243755636
226,-15.057331004432992
227,0.978368525654119
228,26.279415316846524
229,34.0806187726274
230,80.75826217386793
231,52.65191787059155
232,68.54009572164972
233,58.14199240481662
234,21.881520395062886
235,-66.43373266333336
236,88.589094581679
237,-102.90437576069405
238,-29.387431939683378
239,-99.18376896224264
240,98.49937035389523
241,64.839281283628
242,-39.124715311740545
243,67.1492859847909
244,69.64646733158862
245,32.02592654352924
246,19.362213803279715
247,61.3255298266668
248,145.23829350851972
249,32.18479008994357
250,77.07687108449157
251,-18.67602872401059
252,48.99530836747885
253,84.76294118779357
254,79.94810679124161
255,47.20149647144013
256,38.346459617464134
257,85.35972012103335
258,52.03527160978305
259,-14.177214624869022
260,9.207477956823853
261,49.64799988120303
262,87.25444422306421
263,74.8124324527602
264,39.96790561220773
265,37.91602460180533
266,38.57815550855459
267,70.11379318347743
268,128.8340196996754
269,43.2917463454306
270,61.73660297766945
271,115.14847967051688
272,109.21561951194536
273,201.3400069320262
274,19.999941932952773
275,49.9127556897549
276,131.7159382980972
277,-27.233827115888047
278,73.11471813836178
279,-198.1842370446986
280,-24.943586582184416
281,83.96960358605192
282,60.110050379616816
283,84.1035462399668
284,-161.2761392444834
285,94.94350566521187
286,73.15305085423314
287,50.697404554320485
288,218.0477573349484
289,50.66628587961813
290,80.84132087644146
291,110.45950803019414
292,57.040828479256845
293,-46.239723658754656
294,145.734087431447
295,69.50708459550874
296,209.78910488009086
297,-331.4833358828412
298,-59.05132627179893
299,54.847432872184385
300,-81.16959294358082
301,55.992500911940354
302,34.90778360490842
303,84.33446177674243
304,59.91661253995642
305,-407.0281414287296
306,104.17446571337562
307,29.558338128456512
308,86.19559458832644
309,102.18275550410141
310,-112.74444484196366
311,204.95747446266085
312,-102.84430993598687
313,-269.1867974040741
314,46.25363987692734
315,161.17468562925663
316,87.64276814646213
317,-20.749428679369473
318,49.58867963780133
319,7.762733643755594
320,207.40564715049115
321,182.1857022553871
322,204.9968516405888
323,97.20526308290201
324,15.013959310784927
325,177.58284144527693
326,226.55737621154842
327,170.1104131892189
328,234.60832551113276
329,-106.52891920617255
330,189.21661819214773
331,35.394494210805334
332,59.905546377246935
333,-182.79842908631147
334,122.52275246707185
335,-16.97736268663489
336,-438.648471414539
337,-39.93296895939301
338,115.88044739277956
339,211.6637987243891
340,-61.4259550887036
341,211.8578419328419
342,-115.14364918605034
343,198.7049273596076
344,-78.67614726888607
345,205.73870947769097
346,216.40030149085567
347,223.85842653875255
348,11.76430360215012
349,19.710054064967977
350,120.7301715960129
351,17.884056418790276
352,201.3060019847269
353,-166.8229468907488
354,40.65079688652372
355,0.13084734575404866
356,187.09204529476068
357,216.87773964869422
358,-51.398068321247756
359,-47.68807291736667
360,220.68991677197528
361,-78.42250881276846
362,67.49656758838023
363,76.92161765559982
364,58.02283379516583
365,104.47138885996146
366,99.06257689961274
367,195.01167418104865
368,-46.584233126159724
369,40.4362286312774
370,283.12982640020573
371,241.02770019806687
372,213.07170975190817
373,291.89707768813196
374,112.49230348082926
375,-141.58258615155853
376,-270.4433148465065
377,259.5785085419592
378,226.6663314644422
379,-281.29235179112374
380,217.12619450644007
381,11.429048962767455
382,144.1426436565651
383,-84.59075126006024
384,221.1174149424796
385,266.0015123923149
386,164.7854505360336
387,179.78548006262676
388,-83.27471281575188
389,214.62430628588066
390,-299.7507778948676
391,181.9901941726977
392,211.46759130170022
393,188.54015375238487
394,207.89893178991895
395,204.12363266818244
396,215.38617024344074
397,201.144640060237
398,-74.57043615297007
399,-192.5621270041194
400,-152.43168857041306
401,267.76012885290754
402,-229.49360337065846
403,205.53366691617714
404,-60.10735498034829
405,233.7471013304583
406,-279.6520960596989
407,202.68941935784642
408,72.78507932186318
409,172.07537339633615
410,213.6730735898374
411,231.06686664493589
412,-26.05311592954476
413,221.1259604779834
414,-76.41265461380421
415,227.41454978912617
416,-78.29420242244942
417,213.17036119690295
418,-144.41569504158068
419,226.8909855728605
420,56.687763784216614
421,225.8091734089694
422,184.34665162831212
423,153.8553313648704
424,196.70718598557568
425,191.89233676577908
426,242.18507021880998
427,-102.12161103568776
428,-55.29961607143029
429,214.05182236241376
430,-249.8986954830393
431,166.7471160194237
432,126.38998957033665
433,-177.15300952171935
434,177.08573187827298
435,83.20328422942367
436,-39.69601643691675
437,223.18736178078365
438,241.234748917068
439,-132.6965391527872
440,-158.8939202960221
441,-150.22944134627207
442,-95.46176840280224
443,-46.38729986058539
444,-159.34999493498606
445,207.7547402352232
446,190.04295053686002
447,-48.741244687908136
448,-43.31400699281076
449,160.4693427821959
450,168.11333853913433
451,194.45508166824692
452,219.7731412841389
453,-76.75045346593173
454,210.52121603541462
455,276.34192251814204
456,-113.2624347227786
457,223.24306325335075
458,-48.384320701002935
459,222.65549559284074
460,198.0023642402831
461,-145.08065604094415
462,40.69468422235727
463,-48.60304146908838
464,-133.80778240473944
465,272.1185063389431
466,184.51518762008666
467,220.50229726532592
468,227.16462179281933
469,245.66107954071913
470,-3.6659153642163886
471,218.01140451608006
472,211.8929179413132
473,232.7750076096337
474,-191.42142109292
475,16.044683955385793
476,228.6521575897157
477,-34.30640834474616
478,246.23725985665158
479,248.0430357767715
480,168.74128341253805
481,-141.42161159027327
482,225.80113426905007
483,261.66359929218163
484,222.03025986057025
485,-47.00463205592283
486,-586.660070852321
487,-3.9496737487603895
488,-61.583722736166784
489,251.06613249374485
490,-122.14381344101618
491,208.11633847071826
492,234.36255779022497
493,-30.676515474608237
494,255.00385570362897
495,-71.66853890800972
496,-12.288124015575704
497,182.95076459870728
498,226.41471111311557
499,-1.1645087289758465
500,-27.64799486429152
501,244.3599112238119
502,240.5378850124097
503,268.3635768297238
504,214.2112731448167
505,-98.20728505673317
506,-234.2407583019123
507,234.0028641550003
508,196.7694070648631
509,-226.79308309763104
510,191.9342299116001
511,197.36219643104852
512,143.95843816420535
513,-37.89372575159871
514,243.51151830086823
515,-72.33062773594965
516,155.21280147642779
517,179.0355255102401
518,-70.41562629744703
519,227.8210375266272
520,229.31912296117713
521,-93.72151612009911
522,191.64414289060056
523,268.2950230608318
524,136.8075245051325
525,231.2869386215691
526,217.6782613114567
527,-152.56056637591615
528,-56.060702757044226
529,240.05204948850678
530,212.0858029869019
531,214.71572667458832
532,209.55993560375953
533,161.8567239243195
534,226.80489736258733
535,-314.842240916542
536,208.09339146603654
537,-99.80636877669741
538,217.57721588433645
539,230.92925564651935
540,-39.592805621657504
541,226.6812453917445
542,43.72904193396516
543,289.9794622364724
544,242.04111041551096
545,260.46161173589996
546,253.47991053368594
547,258.38597795132563
548,268.2215620711421
549,256.1382865285056
550,248.37796988119635
551,112.75718438524243
552,276.13287302698427
553,199.8420865492194
554,248.5136576793043
555,197.90764567846963
556,229.6566700216634
557,214.55468114424843
558,227.8713022044463
559,200.7424953273694
560,209.01888883165853
561,149.64494345737225
562,249.98629473159713
563,-205.8375933707801
564,257.37395897493593
565,-24.939554430980166
566,-31.975618934261234
567,250.82275429348027
568,247.96712141080863
569,-32.71048769353804
570,-31.605049408717235
571,-153.48155890154703
572,-26.07201959108187
573,292.65600532676217
574,178.47805060408766
575,226.57264074441673
576,208.75389986510905
577,168.12412788091837
578,202.03073343020452
579,230.72759347772504
580,-80.14030940219274
581,270.1103900355588
582,238.98642562792693
583,227.84531032537802
584,217.55047494194406
585,-52.627155394370476
586,295.28653986736606
587,251.1188301072551
588,231.32944145448815
589,-176.72774841467157
590,-13.064323347188761
591,206.21049383925308
592,237.06708468018329
593,-156.37628146283112
594,199.9549490364048
595,262.4562858407851
596,210.0562273777506
597,-119.71186778689159
598,242.51190060487994
599,-48.648800412494026
600,3.3475072249925404
601,225.96004093857144
602,222.1692997146143
603,245.12927686089776
604,-7.064575590266941
605,-61.57656195281899
606,182.37011200971642
607,240.0484407264602
608,-51.62312021810433
609,248.22911942308272
610,228.40350581413435
611,27.68569755534395
612,234.47477382637436
613,233.72490730091414
614,182.99269576765778
615,229.27070967100752
616,168.3978034722296
617,-3.9353007457310554
618,-23.497591652370843
619,269.8175647142586
620,234.17589240300725
621,-30.9120718818708
622,266.23884007118977
623,-240.8457986582139
624,-132.70309092605515
625,-8.165258768569458
626,261.54361556729015
627,195.71810894872925
628,238.94396905329518
629,-133.48299586973658
630,-39.079035826132284
631,262.9355558754547
632,264.7907396706371
633,212.68979935764256
634,215.43120447259855
635,255.50167833661123
636,-18.274220264467402
637,217.08068817688974
638,257.3633469338704
639,276.520427168605
640,246.83488435213587
641,-35.849463852295656
642,-43.48824210819036
643,-36.35821097077829
644,148.2413332086075
645,218.1385515448456
646,-79.35831065639574
647,228.15401014031488
648,248.17970071861203
649,161.2122461030479
650,-17.68233872124584
651,207.3890283314352
652,184.95701125383707
653,-132.60587649291847
654,244.8551100731137
655,263.6199937532324
656,238.90306102667182
657,267.07225945841685
658,255.7549970348508
659,245.2331247163164
660,-978.9810930463635
661,-15.202184039280212
662,260.87913295078556
663,195.78578976122617
664,-14.62647973198915
665,-65.45555879454787
666,146.95140793421248
667,215.15201525891513
668,194.39696954511385
669,60.79216210410016
670,253.9697128543594
671,193.66814070518708
672,104.86640453687292
673,257.8518533451356
674,-169.1532038868516
675,244.3808367961648
676,275.1999227679378
677,220.57469597870733
678,-5.219046845780634
679,-8.846999397890315
680,250.0970806464864
681,140.0589674072535
682,226.39348807132754
683,-214.1752057754199
684,281.2448563858709
685,53.005584071259136
686,-30.287981276756085
687,247.76328421459058
688,-515.0328954459878
689,230.74245838554666
690,-25.586499031740686
691,213.8417385970335
692,261.4131768519345
693,-52.05930501939669
694,-225.25426533472168
695,-78.37913111804502
696,187.4998716955816
697,-3.7695707963233787
698,-473.1680051521309
699,-57.87273533765051
700,243.52764957912964
701,261.30333419069575
702,209.87524621509343
703,-217.78822597468562
704,181.8453901169985
705,290.323232619881
706,-34.80273645496318
707,116.92692595176979
708,4.1798597785154055
709,230.3148659333251
710,-118.57937403817698
711,-158.71043042243477
712,-167.2183400168258
713,249.27911459258218
714,-52.9979296604438
715,283.96061888476254
716,240.7788487846004
717,-231.39148747832212
718,-165.26065265687984
