episode,average_score
1,-177.86081730323002
51,-167.1925083845763
101,-138.52371957015785
151,-89.98307310264445
201,-51.81879712693785
251,-28.602593465042006
301,-4.231708289387138
351,7.08565618133971
401,-20.379050760126844
451,-55.702316826355634
501,-31.353030600067015
551,41.631006799331345
601,120.27978219998339
651,178.9052744812625
701,201.29394487297853
751,191.67234873698933
801,117.99438162768139
851,67.58321762855776
901,58.99712259253413
951,73.45252621837288
1001,98.39982800667399
1051,115.96688906055856
1101,143.80361971258316
1151,146.72454681939695
1201,148.34447198491057
1251,143.38485078504615
1301,125.09049225417934
1351,134.14007966494907
1401,170.05177898335677
1451,215.66102429314552
1500,230.66719881163658
