episode,score
1,-212.46146489749748
2,-234.46789668210494
3,-83.2888895610221
4,-93.28411134760844
5,-78.53348897286101
6,-177.7203268721151
7,-129.3670268751612
8,-271.3329451957939
9,-87.4769762947385
10,-161.0519247686838
11,-180.36335836547542
12,-232.08493351202515
13,-157.1506797918898
14,-62.302571171680434
15,-142.8283807882512
16,-61.29276866096798
17,-152.63202776061422
18,-112.218091187056
19,-134.67951492216972
20,-111.00251329072398
21,-104.7955246314398
22,-136.52894126479475
23,-126.43284914566841
24,-106.87813671148271
25,-239.0444170858599
26,-41.51254121209132
27,-53.78905508696464
28,-76.9106263742723
29,-92.00480917196938
30,-111.9513501242425
31,-124.93165667926831
32,-22.47356055195135
33,-199.9161076590613
34,-166.43316952208818
35,-175.75374613018056
36,-178.0778260764492
37,-73.65997253103747
38,-107.6668994073655
39,-268.5712190216568
40,-50.46924886364282
41,-61.29245724185675
42,-208.2890199811685
43,-144.1077705121985
44,-148.1706021672619
45,-204.0025243991865
46,-105.57163228954342
47,-93.15890841913522
48,-61.7818521446096
49,-89.47945313910719
50,-83.6270817731465
51,-213.6788611621492
52,-333.5825028797234
53,-71.16622201497304
54,-57.74456033462751
55,-188.31651059653413
56,-102.91596932697617
57,-98.79799558384236
58,-71.02482087204467
59,-85.79532987838884
60,-195.9594637760227
61,-138.01796877415188
62,-16.84129525237921
63,-52.16661134681138
64,-62.01619045119262
65,-91.98310765817752
66,-170.21637227688177
67,43.506288209091366
68,-80.14268953630697
69,-130.00960761108632
70,-84.96576267797184
71,-84.73657734544607
72,-103.1390547404607
73,-103.22865950604853
74,-107.68136973469049
75,-62.04133350891463
76,-218.3886707156314
77,-45.80018610371179
78,-37.98756034829782
79,-103.2690988588345
80,-44.39377044078681
81,-106.30072417166731
82,-32.649244291297876
83,-100.12698485656296
84,-115.91910710760708
85,-98.41511207497209
86,-63.093941412134356
87,-96.3152243236382
88,-81.94298524642593
89,-175.44077206714007
90,-113.56630491463171
91,-105.55741651062812
92,-125.9402419271448
93,-4.87799356851815
94,-109.90699159050342
95,-182.42029259594312
96,-109.15835586114665
97,-39.57110683648774
98,-64.25072979475883
99,-88.25588769096314
100,-18.199211177823344
101,-142.94385173847724
102,-89.17094351107102
103,-75.89800104286807
104,-65.79052498917628
105,-58.10267298921028
106,17.254609095880127
107,-110.07192036665275
108,-35.87868910864273
109,-58.84655634787603
110,-34.8545343168924
111,-67.62183829133537
112,-66.18777069946424
113,-131.9519528340848
114,-37.1556569944305
115,-128.2512061943279
116,-105.40921022393364
117,36.57508904629947
118,-2.719134092484211
119,-166.40993212353624
120,-38.48971843603567
121,-62.929513194133875
122,-98.9015944036472
123,-42.43647636360873
124,-40.01100330775773
125,8.84115321884417
126,-4.529859231944016
127,-93.72276416464618
128,-48.49377312052022
129,-203.31113755380437
130,-73.02675895916332
131,7.065890012408673
132,-87.99460366481208
133,-30.289549196818825
134,-80.64011049616062
135,30.38006489498332
136,-68.46586410376659
137,-14.340496845703214
138,-43.988736468428826
139,-90.67736628196843
140,-44.30515230274786
141,-116.46365050571652
142,4.070606907323949
143,-114.60869104840647
144,-16.52133315919872
145,-79.1293626306414
146,-86.33144373204634
147,-91.05039763467296
148,-73.02478927824747
149,-23.43364815045399
150,-4.517376165127416
151,-21.163815649936353
152,-64.92916428632779
153,-267.963887452912
154,-5.2034912481032904
155,-257.4467111424275
156,-131.95035540572445
157,22.875031294393224
158,-95.86888430990045
159,-10.490748250239974
160,-53.506956977911095
161,-67.94236957482006
162,-49.209710701239175
163,-225.12215426382798
164,-328.8072405374076
165,-60.459103605399854
166,-90.10406205704287
167,-65.51132666847043
168,-32.81090799092664
169,-84.53711826109044
170,-53.89905330584669
171,-129.31449757786422
172,-49.4085583446755
173,-308.1277156234474
174,-16.1027475382014
175,-21.552113459136592
176,-77.1514938374122
177,-291.6532688438223
178,-109.75236013684349
179,-22.501962942361416
180,-24.700738930903142
181,-299.6008858135492
182,-74.20411266878683
183,-232.69903906989438
184,-231.94651228987826
185,8.047656125982314
186,-5.6898596183794865
187,-56.85715110644719
188,1.7954970897623497
189,-159.2966560328541
190,-27.439787764656245
191,-75.61907696924372
192,-309.4000698667573
193,-87.75263149286423
194,-93.83384422586532
195,-232.0409171266221
196,13.760678042983812
197,-86.07842684501364
198,-375.0585555493066
199,-32.51909762287079
200,-97.29474749972225
201,-159.83684891099952
202,-19.42449212761619
203,47.48389313569652
204,-92.64004288018816
205,-279.60389741708866
206,-69.12211672799657
207,17.326160133562638
208,-255.20006722682498
209,-101.56396596118915
210,-41.66957190255405
211,-212.15143818024137
212,-110.84659318304118
213,-70.78215576996392
214,32.87200538488324
215,28.849689742442024
216,8.211850508201024
217,-44.12769268744915
218,-305.33399302723933
219,-68.93246548996005
220,-177.8168702854189
221,-44.43501564905617
222,-98.08202023288307
223,1.8504548088991217
224,-9.487152387181554
225,-6.456688549420889
226,-247.53564569399498
227,-25.25755963783477
228,-296.37214172677795
229,-72.02814926437273
230,-75.93951410426438
231,-320.2967680752574
232,-65.07996823894808
233,-219.1607762496464
234,-251.34666730049616
235,-58.72711313819875
236,-181.91795199362835
237,-13.310568840955625
238,-100.44459892301285
239,48.26406538173291
240,-29.480141746073542
241,-257.8834163466153
242,17.84105830559902
243,-58.37618205447005
244,16.029214225276696
245,-87.03071203213486
246,-224.4488980618933
247,-18.95005385946577
248,-25.584077856591428
249,88.38809210161033
250,-88.82495193309498
251,4.280831062882794
252,43.44273728370903
