episode,average_score
1,-212.46146489749748
51,-132.28434728233904
101,-114.07715700202088
151,-77.96607570700658
201,-85.0965017819524
251,-100.00992843167131
301,-55.11383996835502
351,-60.13033748520481
401,-68.04956228318349
451,-10.005602257920708
501,14.73535329267744
551,-51.27921309673988
601,-77.29153039431203
651,13.021088112176965
701,27.69857403682599
751,28.275191742225548
801,97.67554461895506
851,129.81345868324559
901,91.0712889735225
951,102.30914979703225
1001,141.02151589086435
1051,153.81442590368252
1101,159.19858029392626
1151,162.66001180306904
1201,183.34762994565833
1251,176.6339465272253
1301,138.8348892065179
1351,105.74079502317761
1401,84.8334488768176
1451,64.20039991154654
1501,89.16611606504505
1551,128.8217786894141
1601,138.78408830976053
1651,167.1443280652822
1701,178.75151970631842
1751,168.34046861768132
1801,180.37736649278136
1851,116.97199901682018
1901,63.293053809603926
1951,22.031457268175796
2001,22.23293025089392
2051,113.95439574524289
2101,142.47559682355688
2151,170.088542737406
2201,177.33382272515206
2251,131.46547906121762
2301,114.93839672412727
2351,68.62567375114367
2401,31.372346551380282
2451,48.31851969890823
2501,6.6981283644504
2551,-89.23530946474007
2601,-138.87478293947288
2651,-52.0616055297119
2701,-15.603611425657869
2751,-70.55200971124347
2801,-60.87297502846529
2851,-114.78495882863379
2901,-173.17585653893764
2951,-176.26591009008797
3001,-166.86907816899074
3051,-125.60453797529844
3101,-94.07006785139038
3151,-122.61367442655768
3201,-204.11235783849372
3251,-232.57993665948726
3301,-182.02187617269345
3351,-63.03460197304635
3401,69.6269627795591
3451,122.93092476982571
3501,151.9916798865291
3551,143.21973397158507
3601,90.05361984439125
3651,70.55672822590695
3701,99.50540899227599
3751,106.8700035013177
3801,71.5123952580146
3851,115.287707870909
3901,206.59973951994562
3951,236.7952742329334
4001,220.09329905172763
4051,179.77782725114255
4101,169.4656608600509
4151,166.74290063756692
4201,111.77647698939172
4251,67.55105113347906
4301,40.21421592373335
4351,28.976144675974616
4401,40.79021624940797
4451,44.91924351891772
4501,57.7560176048151
4551,84.88482763184858
4601,160.4438386798207
4651,199.81920734584673
4701,149.42319195931898
4751,117.24453921784325
4801,150.29919419215287
4851,150.68838507419576
4901,98.24807107723633
4951,75.27654216219858
5001,98.67948391589772
5051,104.33091400887861
5101,38.38881938452412
5151,37.370076655580654
5201,46.07111581091024
5251,-4.113684764652176
5301,-43.720946230595935
5351,-133.79971559892607
5401,-163.03913820380248
5451,-104.21096885075022
5501,-88.04725704264696
5551,-47.89665814938497
5601,15.05869313136137
5651,114.97738088471571
5701,146.4673225926621
5751,-29.018759508580537
5801,-159.17229475672224
5851,-82.14957806401624
5901,6.165821746548842
5951,-105.52056103960201
6001,-293.26763494632087
6051,-432.087655229024
6101,-529.2454312763812
6151,-721.623186300781
6201,-887.016464175264
6251,-898.4169086656211
6301,-929.7955468758967
6351,-1098.5338515443152
6401,-1264.2782222898595
6451,-1512.7550108089574
6501,-1923.8354418797028
6551,-2567.9044288143286
6601,-2849.41865962153
6651,-2240.288978386019
6701,-1937.307920198916
6751,-2386.4122688856037
6801,-3371.0946890342125
6851,-4837.036620515989
6901,-6065.594645774453
6951,-8076.367353050466
7001,-8868.39375546691
7051,-7616.730953972223
7101,-5710.473374890867
7151,-3207.2585040950084
7201,-2189.817149230913
7251,-2437.9033037060217
7301,-2197.627180741243
7351,-1753.3919420364318
7401,-2045.8758201903163
7451,-2090.9773767703296
7501,-2161.460467991456
7551,-3210.328453120204
7601,-4885.0819240345745
7651,-5340.143756251707
7701,-4481.250457717632
7751,-2525.450764862058
7801,-1121.59268227107
7851,-1072.5804853464356
7901,-572.5862478076317
7951,-320.7857753717321
8001,-364.66381872896216
8051,-398.32456577945965
8101,-417.35393295162015
8151,-376.80777765164135
8201,-332.9556745692778
8251,-329.68115786617994
8301,-330.0209613507286
8351,-333.9478990398017
8401,-318.4761907255626
8451,-284.7302368314844
8501,-249.66953398135772
8551,-226.16271232981993
8601,-231.43219746402843
8651,-256.9106996055937
8701,-292.7475364371042
8751,-549.338775276137
8801,-634.1086102884369
8851,-469.1834709161807
8901,-428.2843737686246
8951,-381.7868122060162
9001,-451.694753641199
9051,-608.0905950822604
9101,-686.2361059860424
9151,-700.3237169219994
9201,-674.7494113595326
9251,-663.9386196110661
9301,-593.4189583953238
9351,-519.0252674256544
9401,-496.92194669773977
9451,-386.8944774854547
9501,-250.00806880085162
9551,-259.51958368088964
9601,-376.5845668026383
9651,-452.15561373569057
9701,-541.3814740430953
9751,-554.2665806682653
9801,-524.510990720561
9851,-484.36959915731234
9901,-446.6693254498278
9951,-482.27387702940666
10001,-505.91285243918816
10051,-480.7611959587302
10101,-434.55940945180055
10151,-395.4431395617113
10201,-376.2217617519819
10251,-368.7814962828511
10301,-341.20490132187183
10351,-329.9384430444217
10401,-331.28863645203916
